scene_id,book,chapter_index,chapter_heading,scene_index_in_chapter,word_count,source_file,source_hash,opening_line,closing_line,pov_candidate,story_time_candidate,explicit_time_markers,location_candidate,present_characters_candidate,scene_goal_candidate,opposition_candidate,turn_candidate,outcome_candidate,major_events_candidate,knowledge_gained_candidate,belief_changes_candidate,relationship_changes_candidate,objects_transferred_candidate,promises_introduced_candidate,promises_advanced_candidate,promises_paid_off_candidate,review_status,notes
B03-C29-S02,Book 3,29,Chapter 29,2,154,series/books/book-3/phase-8-editing/MANUSCRIPT.md,fcd2af86a5f6fead0dbf212f24bdc862bcee57493e367d02d333d671d734e05a,Margot kicked the doors of the Town Hall open.,She left him terrified in his office and sprinted for the roof access stairs.,Margot Vance,,,Town Hall mayor's office,Margot Vance; Arthur Sterling,Locate Valerius and confront Sterling's betrayal.,"Sterling's cowardice, destroyed records, time pressure.",Sterling admits he sold the town for political advancement and control.,Margot leaves Sterling for lawful or community accountability and races to the roof.,Sterling caught packing cash; betrayal confessed; Margot condemns him.,Margot learns Sterling expected a Senate seat in exchange for collaboration.,She distinguishes Sterling's petty ambition from Valerius's ideological violence.,None.,Sterling's cash remains in briefcase.,Sterling must face arrest or community judgment.,Political-accountability thread.,Sterling's motive is explicitly revealed.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C29-S03,Book 3,29,Chapter 29,3,347,series/books/book-3/phase-8-editing/MANUSCRIPT.md,ab491466b2b28fe060d67564d09f5cc4896825ea0a92a317ad1270eae8cc0d50,"The roof was a helipad. The black chopper's rotors were spinning, whipping the snow into a blizzard.","""You are a guest,"" Margot corrected. ""And you have violated the House Rules.""",Margot Vance,,,Town Hall roof and helipad,Margot Vance; Valerius; helicopter pilot,Prevent Valerius from escaping with the Emitter Core and controlling the narrative.,"Helicopter, Emitter evidence case, Valerius's federal authority and magic.",Margot invokes the original Charter and Sanctuary law.,The helicopter is pinned and Valerius's outside authority is nullified inside town limits.,Valerius claims he can still prove the town failed; Margot invokes Charter and House Rules.,Valerius learns the Charter can supersede his federal authority within Sanctuary.,Margot fully claims the legal and magical authority of Keeper and Administrator.,None directly.,Emitter Core remains in Valerius's metal case.,Use House Rules to neutralize Valerius completely.,Charter-authority and final-antagonist threads.,The Charter becomes an active legal weapon.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C29-S04,Book 3,29,Chapter 29,4,193,series/books/book-3/phase-8-editing/MANUSCRIPT.md,3d05f17270e6b8c3aad27893e653b9dccc937f553bbcf386c106b7a569d925e2,Valerius threw the fireball.,"""Inquisitor Valerius,"" she announced. ""Your library card is revoked.""",Margot Vance,,,Town Hall helipad,Margot Vance; Valerius; helicopter pilot,Defeat Valerius's magic and revoke his access to the Sanctuary.,"Holy fire, gravity magic, helicopter escape, federal claims.",Each attack is invalidated by a Charter clause and Margot revokes his library card.,Valerius loses magical and jurisdictional leverage.,Fire absorbed; gravity blocked; helicopter immobilized; access revoked.,Margot confirms the Charter's House Rules can directly rewrite hostile actions inside Sanctuary.,She acts with full confidence in inherited authority.,None.,Valerius drops the Emitter Core case.,The revocation must produce final removal or confinement.,Valerius defeat.,Valerius's magical attacks are neutralized.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C29-S05,Book 3,29,Chapter 29,5,263,series/books/book-3/phase-8-editing/MANUSCRIPT.md,03409d7e9c2bd58d1d9065f75690636768c80096ad4866ed4e665d33fcc3a4dc,"""No!"" Valerius screamed. He drew a gun—a simple, steel pistol. ""To hell with magic!""","""Good choice,"" she said.",Margot Vance,,,Town Hall helipad,Margot Vance; Valerius; helicopter pilot,Complete Valerius's defeat.,Valerius's final pistol shot and refusal to yield.,Archival Preservation converts Valerius into a book.,Valerius is permanently filed as The Ego of Inquisitors: A Tragedy.,Bullet becomes paper moth; Valerius flattens into parchment; pilot surrenders.,Margot learns revocation plus archival authority can transform a hostile person into a contained text.,She defines justice as containment and memory rather than execution.,None.,Valerius becomes a grey leather book in Margot's custody.,The Valerius book must be securely archived.,Postwar custody and memory threads.,Valerius is fully defeated.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C29-S06,Book 3,29,Chapter 29,6,790,series/books/book-3/phase-8-editing/MANUSCRIPT.md,5f37265f899bc0370459fc45451fea7dbd1247d7c87eb2b125f8fed069024cab,She walked down the stairs of the Town Hall.,But the story... the story was just getting started.,Shared POV,,,"Town Hall lobby, triage area, and library square",Margot Vance; Jonah Harrow; Jackson Harrow; Valerius book; survivors,"Reunite, confirm survival, and return home.","Exhaustion, wounds, grief, reconstruction burden.",Margot sees Jackson alive with Jonah and recognizes the war is truly over.,Jonah and Margot walk back to the library hand in hand.,Margot reports Valerius processed; Jackson receives care; victory acknowledged; pair return to library.,Margot learns Jackson is stable enough to begin recovery.,The protagonists accept survival rather than remaining trapped in emergency mode.,Jonah and Margot publicly and privately choose home together.,Valerius book carried by Margot.,"Rebuild the library, town, and shared life.",HEA and reconstruction threads.,The war and primary antagonist conflict are resolved.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C30-S01,Book 3,30,Chapter 30,1,492,series/books/book-3/phase-8-editing/MANUSCRIPT.md,40289f0b93cda28035b66f33a361486c4760418e0f058d2af08e53432f938301,**Shared POV**,"*Transparent,* he thought. *Like us.*",Shared POV,,week later; morning,Snowfall Creek Main Street and rebuilt library exterior,Jonah Harrow; townspeople; Grishka; Aleksei; Sarah; Silas; journalists,Show the town's first week of reconstruction and transformed public life.,"Damage, trauma, political scrutiny, unfinished repairs.",Jonah sees the library's new transparent glass doors.,Snowfall Creek begins living openly rather than hiding.,Businesses reopen; supernatural residents work openly; journalists remain; Silas gives interviews; library doors become transparent.,The reader learns the convoy's witnesses changed the public narrative and prevented erasure.,Jonah embraces transparency as the new civic model.,Secondary romance tension between Aleksei and Sarah is seeded.,No major transfer.,The town must sustain openness beyond the crisis.,Reconstruction and series-continuity threads.,The visibility strategy receives durable civic payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C30-S02,Book 3,30,Chapter 30,2,291,series/books/book-3/phase-8-editing/MANUSCRIPT.md,e99daef63e9d9eb3dc39fddde2c6999fd767620b3e1c3c063473223cbdf7d1e4,**Margot**,"""Come with me.""",Margot Vance,,,B4 Restricted Section and Administrator's office,Margot Vance; Jonah Harrow; Valerius book,Secure Valerius and manage the new administrative order.,"Treaty paperwork, federal compromise, reconstruction workload.",Jonah orders Margot off duty for mandatory recreation.,Margot leaves work with Jonah.,Valerius book shelved; Integration Act and Special Administrative Zone established; Margot named Administrator.,The reader learns federal authorities pass an Integration Act and formalize Snowfall Creek's protected status.,Margot accepts public administration rather than secret custodianship.,Jonah invites her to prioritize shared life after duty.,Valerius book shelved in B4; bear claw delivered.,Margot must balance governance and private life.,HEA and civic-reconstruction threads.,Valerius custody and institutional reform receive payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C30-S03,Book 3,30,Chapter 30,3,897,series/books/book-3/phase-8-editing/MANUSCRIPT.md,4fdd7bb50817858916d92f030eb10236ca80c05b2b20e7828176aa76582521da,**Shared POV**,"""Ideally,"" Jonah kissed her shoulder.",Shared POV,,morning; tonight,Jonah's ridge cabin,Jonah Harrow; Margot Vance,"Experience peace, intimacy, and chosen domestic life after the war.",Residual trauma and the difficulty of trusting quiet.,Their bond flares in mutual love without crisis or coercion.,Jonah and Margot claim a genuine happily-ever-after.,Cabin restored; no-more-secrets agreement; consensual intimacy; love and relief shared through bond.,Both experience the bond as mutual emotional connection rather than only instinct.,Silence becomes safety rather than impending threat.,The relationship resolves into durable domestic and metaphysical commitment.,None.,Live the shared life they chose.,HEA thread.,Romantic arc receives full payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C30-S04,Book 3,30,Chapter 30,4,244,series/books/book-3/phase-8-editing/MANUSCRIPT.md,547fd5e9bcf68c8757a53c683c5cc165349b7c70b8df1e8d368d1dd4d5650925,**Jonah**,"""Exactly.""",Jonah Harrow,,morning,Jackson Harrow's porch,Jonah Harrow; Jackson Harrow,Reconnect with Jackson and discuss the future.,"Ten lost years, trauma, physical recovery.",Jackson gives Jonah his old sheriff's badge.,Father and son recognize continuity without forcing Jonah into Jackson's identity.,Coffee conversation; old badge transferred; Jackson plans museum work with Silas.,Jonah learns Jackson preserved his badge and intends to retire into living-history work.,Jonah accepts inheritance without surrendering his own modern identity.,Father-son bond begins healing through humor and respect.,Jackson's old sheriff badge transferred to Jonah.,Jackson and Silas will preserve living history.,Father recovery and civic-memory threads.,Jackson's post-rescue future is established.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C30-S05,Book 3,30,Chapter 30,5,178,series/books/book-3/phase-8-editing/MANUSCRIPT.md,bd88e743528921362b4a78fad6fe1d6843dbe01d6a0c15f47dcf3aa24cf783de,**Shared POV**,The crowd erupted.,Shared POV,,today,Town Hall,Margot Vance; Jonah Harrow; Silas; townspeople,Establish the new civic order and celebrate reconstruction.,"Ordinary disagreements, repairs, and governance complexity.",A statue model of the Wolf and Librarian is unveiled.,The town publicly commemorates shared leadership rather than founders or generals.,Council meeting; school and blood-drive agenda; statue unveiled; Silas presides as Speaker.,The reader learns Silas replaced Sterling as Speaker and the town is governing through inclusive public process.,Margot accepts imperfect conversation as better than controlled order.,Jonah and Margot become public symbols of the new town.,Statue model unveiled.,Future civic conflicts will be handled openly.,Series-world continuation.,Political and community arcs receive final payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C30-S06,Book 3,30,Chapter 30,6,626,series/books/book-3/phase-8-editing/MANUSCRIPT.md,88a7d58844f5a2a3512a4e96b5fb357d1a814a8d4002487701cb3913b21cca35,"As the crowd dispersed, a black sedan pulled up to the curb.",**(End of Book 3)**,Shared POV,,night,Town Hall curb and library approach,Margot Vance; Jonah Harrow; Aleksei; Sarah; Cian,Introduce the next series-level threat while preserving the Book 3 HEA.,"Cian's arrival, vampire family mystery, possible survival of Aleksei's father, Necronomicon request.",Cian claims their father may not be dead and asks about a dangerous rare book.,Jonah and Margot return to the library ready for the next threat.,Black sedan arrives; Cian confronts Aleksei; father-survival tease; Necronomicon request; Jonah and Margot kiss and prepare.,The reader learns Aleksei's brother Cian believes their father may survive and seeks a dangerous archive volume.,Jonah and Margot view future danger as a shared challenge rather than threat to their bond.,Their HEA remains intact while the series hook opens.,No transfer; Necronomicon remains only requested.,"Aleksei's family, Cian, the surviving father, and the Necronomicon become series-level promises.",Next-book series hook.,Book 3 closes while preserving future series momentum.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
